valuen,year,valuet2,month,estado
24,2002-2006,273,Adm Publica,archivado
18,2002-2006,311,Agropecuario  ,archivado
9,2002-2006,212,Asuntos admin ,archivado
10,2002-2006,196,Bienestar y pobreza,archivado
99,2002-2006,516,cel hon y monu,archivado
41,2002-2006,305,Comer- ind y tur,archivado
17,2002-2006,351,TIC,archivado
13,2002-2006,252,Conflicto armado,archivado
9,2002-2006,228,Corrupcion ,archivado
6,2002-2006,292,Derechos de autor,archivado
28,2002-2006,345,Derechos Fund,archivado
2,2002-2006,146,Derechos Hum ,archivado
3,2002-2006,627,Des y calamidades,archivado
39,2002-2006,301,Economia ,archivado
54,2002-2006,321,Edu- cult- cyt ,archivado
15,2002-2006,360,Estampillas,archivado
25,2002-2006,286,Familia,archivado
22,2002-2006,306,Impuestos,archivado
18,2002-2006,364,Infraestructura,archivado
2,2002-2006,161,Juegos Azar,archivado
58,2002-2006,284,Justicia,archivado
53,2002-2006,293,Laboral,archivado
23,2002-2006,303,Medio Ambiente,archivado
16,2002-2006,400,Minas y energía,archivado
15,2002-2006,239,min etn y sexuales,archivado
5,2002-2006,305,Mujer,archivado
16,2002-2006,251,Notariado y registro,archivado
24,2002-2006,302,Ord Territorial,archivado
15,2002-2006,336,org cont y min publ ,archivado
24,2002-2006,243,org electoral,archivado
20,2002-2006,242,part ciudadana,archivado
6,2002-2006,209,Partidos y movimientos,archivado
10,2002-2006,289,PND,archivado
14,2002-2006,362,Politica Internacional,archivado
7,2002-2006,298,Presupuesto,archivado
40,2002-2006,312,Profesiones,archivado
27,2002-2006,270,Rama Ejecutiva,archivado
18,2002-2006,238,Rama Judicial,archivado
62,2002-2006,261,Rama Legislativa,archivado
22,2002-2006,373,rec y deporte,archivado
72,2002-2006,274,Seg Social y salud,archivado
43,2002-2006,316,seg- def y fuer publica,archivado
35,2002-2006,335,serv publicos,archivado
44,2002-2006,330,Transito y transporte,archivado
14,2002-2006,358,Vivienda,archivado
2,2006-2010,222,Adm Publica,archivado
22,2006-2010,304,Agropecuario  ,archivado
26,2006-2010,330,Asuntos admin ,archivado
10,2006-2010,370,Bienestar y pobreza,archivado
143,2006-2010,450,cel hon y monu,archivado
44,2006-2010,373,Comer- ind y tur,archivado
18,2006-2010,329,TIC,archivado
11,2006-2010,364,Conflicto armado,archivado
3,2006-2010,485,Corrupcion ,archivado
4,2006-2010,389,Derechos de autor,archivado
41,2006-2010,287,Derechos Fund,archivado
3,2006-2010,211,Derechos Hum ,archivado
8,2006-2010,385,Des y calamidades,archivado
43,2006-2010,280,Economia ,archivado
64,2006-2010,384,Edu- cult- cyt ,archivado
30,2006-2010,318,Estampillas,archivado
44,2006-2010,356,Familia,archivado
2,2006-2010,346,Impuestos,archivado
15,2006-2010,331,Infraestructura,archivado
4,2006-2010,290,Juegos Azar,archivado
92,2006-2010,290,Justicia,archivado
42,2006-2010,377,Laboral,archivado
36,2006-2010,342,Medio Ambiente,archivado
15,2006-2010,328,Minas y energía,archivado
7,2006-2010,284,min etn y sexuales,archivado
2,2006-2010,500,Mujer,archivado
11,2006-2010,389,Notariado y registro,archivado
28,2006-2010,315,Ord Territorial,archivado
7,2006-2010,409,org cont y min publ ,archivado
19,2006-2010,250,org electoral,archivado
23,2006-2010,361,part ciudadana,archivado
7,2006-2010,191,Partidos y movimientos,archivado
2,2006-2010,208,PND,archivado
29,2006-2010,471,Politica Internacional,archivado
30,2006-2010,391,Profesiones,archivado
29,2006-2010,252,Rama Ejecutiva,archivado
19,2006-2010,204,Rama Judicial,archivado
55,2006-2010,300,Rama Legislativa,archivado
17,2006-2010,420,rec y deporte,archivado
135,2006-2010,361,Seg Social y salud,archivado
55,2006-2010,325,seg- def y fuer publica,archivado
18,2006-2010,369,serv publicos,archivado
48,2006-2010,299,Transito y transporte,archivado
13,2006-2010,322,Vivienda,archivado
14,2010-2014,258,Adm Publica,archivado
27,2010-2014,405,Agropecuario  ,archivado
10,2010-2014,384,Asuntos admin ,archivado
17,2010-2014,452,Bienestar y pobreza,archivado
91,2010-2014,420,cel hon y monu,archivado
30,2010-2014,392,Comer- ind y tur,archivado
20,2010-2014,310,TIC,archivado
3,2010-2014,191,Conflicto armado,archivado
2,2010-2014,295,Corrupcion ,archivado
5,2010-2014,191,Derechos de autor,archivado
23,2010-2014,270,Derechos Fund,archivado
3,2010-2014,479,Derechos Hum ,archivado
3,2010-2014,276,Des y calamidades,archivado
36,2010-2014,343,Economia ,archivado
45,2010-2014,401,Edu- cult- cyt ,archivado
35,2010-2014,434,Estampillas,archivado
36,2010-2014,393,Familia,archivado
9,2010-2014,353,Impuestos,archivado
8,2010-2014,438,Infraestructura,archivado
50,2010-2014,280,Justicia,archivado
36,2010-2014,328,Laboral,archivado
36,2010-2014,318,Medio Ambiente,archivado
19,2010-2014,317,Minas y energía,archivado
13,2010-2014,261,min etn y sexuales,archivado
23,2010-2014,457,Mujer,archivado
4,2010-2014,586,Notariado y registro,archivado
14,2010-2014,293,Ord Territorial,archivado
8,2010-2014,229,org cont y min publ ,archivado
16,2010-2014,259,org electoral,archivado
11,2010-2014,202,part ciudadana,archivado
14,2010-2014,206,Partidos y movimientos,archivado
11,2010-2014,354,Politica Internacional,archivado
5,2010-2014,243,Presupuesto,archivado
13,2010-2014,420,Profesiones,archivado
19,2010-2014,217,Rama Ejecutiva,archivado
11,2010-2014,415,Rama Judicial,archivado
37,2010-2014,268,Rama Legislativa,archivado
18,2010-2014,404,rec y deporte,archivado
92,2010-2014,358,Seg Social y salud,archivado
41,2010-2014,329,seg- def y fuer publica,archivado
11,2010-2014,364,serv publicos,archivado
56,2010-2014,364,Transito y transporte,archivado
12,2010-2014,375,Vivienda,archivado
17,2014-2018,425,Adm Publica,archivado
42,2014-2018,313,Agropecuario  ,archivado
15,2014-2018,357,Bienestar y pobreza,archivado
56,2014-2018,423,cel hon y monu,archivado
42,2014-2018,290,Comer- ind y tur,archivado
20,2014-2018,323,TIC,archivado
10,2014-2018,281,Conflicto armado,archivado
5,2014-2018,316,Corrupcion ,archivado
2,2014-2018,226,Derechos de autor,archivado
29,2014-2018,261,Derechos Fund,archivado
2,2014-2018,433,Des y calamidades,archivado
41,2014-2018,342,Economia ,archivado
66,2014-2018,340,Edu- cult- cyt ,archivado
14,2014-2018,206,Estampillas,archivado
16,2014-2018,354,Familia,archivado
17,2014-2018,159,Imp paz,archivado
13,2014-2018,387,Impuestos,archivado
4,2014-2018,166,Infraestructura,archivado
70,2014-2018,239,Justicia,archivado
40,2014-2018,360,Laboral,archivado
50,2014-2018,354,Medio Ambiente,archivado
22,2014-2018,301,Minas y energía,archivado
3,2014-2018,348,min etn y sexuales,archivado
12,2014-2018,275,Mujer,archivado
7,2014-2018,231,Notariado y registro,archivado
36,2014-2018,313,Ord Territorial,archivado
8,2014-2018,292,org cont y min publ ,archivado
23,2014-2018,218,org electoral,archivado
11,2014-2018,298,part ciudadana,archivado
3,2014-2018,211,Partidos y movimientos,archivado
19,2014-2018,419,Politica Internacional,archivado
3,2014-2018,183,Presupuesto,archivado
19,2014-2018,329,Profesiones,archivado
13,2014-2018,147,Rama Ejecutiva,archivado
14,2014-2018,204,Rama Judicial,archivado
62,2014-2018,249,Rama Legislativa,archivado
11,2014-2018,294,rec y deporte,archivado
65,2014-2018,447,Seg Social y salud,archivado
33,2014-2018,371,seg- def y fuer publica,archivado
16,2014-2018,337,serv publicos,archivado
48,2014-2018,358,Transito y transporte,archivado
23,2014-2018,409,Vivienda,archivado
